system:index,Name,OBJECTID,blue,green,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,.geo
1_1_LT05_119038_20011123_00003df56065d95e53df_0,Changshu1,1,1017,1170,31.67444365,120.7658911,0.3135436,0.2841596,2124,66,1184,1746,1110,
1_2_LE07_119038_20020102_00003df56065d95e53df_0,Changshu1,1,776,996,31.67444365,120.7658911,0.37034917,0.40947896,2394,66,1003,1803,1100,
1_1_LT05_119038_20020110_00003df56065d95e53df_0,Changshu1,1,1166,1299,31.67444365,120.7658911,0.28505677,0.23722304,2094,66,1291,1676,1165,
1_2_LE07_119038_20020203_00003df56065d95e53df_0,Changshu1,1,1006,1125,31.67444365,120.7658911,0.33699635,0.28747794,2190,66,1212,1684,1086,
1_1_LT05_119038_20020211_00003df56065d95e53df_0,Changshu1,1,805,1060,31.67444365,120.7658911,0.2932331,0.35968378,2408,66,1134,1749,1316,
1_2_LE07_119038_20020219_00003df56065d95e53df_0,Changshu1,1,733,973,31.67444365,120.7658911,0.33383685,0.45669508,2649,66,988,1875,1323,
1_2_LE07_119038_20020307_00003df56065d95e53df_0,Changshu1,1,1097,1229,31.67444365,120.7658911,0.43855816,0.37223235,2634,66,1205,1630,1028,
1_2_LE07_119038_20020526_00003df56065d95e53df_0,Changshu1,1,820,1064,31.67444365,120.7658911,0.31141868,0.41795832,2653,66,1089,2189,1393,
1_2_LE07_119038_20020611_00003df56065d95e53df_0,Changshu1,1,1180,1295,31.67444365,120.7658911,0.27105194,0.33782327,2483,66,1229,2129,1424,
1_2_LE07_119038_20020713_00003df56065d95e53df_0,Changshu1,1,682,941,31.67444365,120.7658911,0.37674892,0.50124824,2706,66,899,1947,1225,
1_1_LT05_119038_20020822_00003df56065d95e53df_0,Changshu1,1,560,851,31.67444365,120.7658911,0.4469557,0.5572102,3137,66,892,1891,1199,
1_1_LT05_119038_20020923_00003df56065d95e53df_0,Changshu1,1,709,947,31.67444365,120.7658911,0.4453694,0.49717057,2778,66,933,1752,1066,
1_2_LE07_119038_20021001_00003df56065d95e53df_0,Changshu1,1,1135,1274,31.67444365,120.7658911,0.37496606,0.3092037,2532,66,1336,1859,1151,
1_1_LT05_119038_20021025_00003df56065d95e53df_0,Changshu1,1,868,1155,31.67444365,120.7658911,0.33873144,0.38238573,2480,66,1108,1885,1225,
